Mean,Std,Skew,Kurtosis,Median Max Drawdown,Median Max Drawdown Duration,Time,Mean RT,Var RT,Skew RT,Kurt RT,Date,Lambda,hyperparams,description
0.0737392640171988,0.05449220280473,0.337147893086196,3.01109376387094,0.0043841695098615,65.5,45.944081592,0.0098471602971027,5.10679451045789e-05,0.172698817901885,3.10393749970721,12-Mar-2021 23:41:14,1.0,"warmup = 100, frequency = 50",HRP cov-12-Mar-2021 23:40:27.txt
0.0121430084372217,0.04456077709919,0.137373528538579,3.0010911334083,0.0163780956243389,202.0,42.761762934,0.0057319244401118,0.0003271066660691,0.542394706389744,3.66665653737724,13-Mar-2021 11:06:34,0.1,frequency = 1,Exponential Gradient Expectation Maximisation-13-Mar-2021 11:05:51.txt
0.0828681181625907,0.0592404069357494,0.33222325164934,3.27832034744406,0.0044673111360739,68.0,31.270048049,0.011514794178796,6.45580328406987e-05,0.152024806936298,4.30659850839475,13-Mar-2021 11:03:08,10.0,frequency = 1,Exponential Gradient Multiplicative-13-Mar-2021 11:02:37.txt
0.08521,0.058834,0.41957,3.7221,0.0040219,59.5,73.7996,0.010711,5.0432e-05,0.038246,3.5744,12-Mar-2021 20:39:49,5.0,"warmup = 75, frequency = 1",Inverse volatility weighted-12-Mar-2021 20:38:35.txt
0.01628,0.047176,0.27723,3.4823,0.05651,115.0,38.7591,0.01998,0.0041079,0.44347,4.3856,12-Mar-2021 21:19:26,1.0,"warmup = 100, frequency=1",ledoit-wolf-12-Mar-2021 21:18:47.txt
0.081720140978708,0.0585934251195596,0.318525829956137,3.26348948517103,0.0045029731545136,69.0,56.065437534,0.0114287896753975,6.4875008837969e-05,0.182493368625374,4.31543536744999,12-Mar-2021 23:58:50,1.0,"frequency = 1, warmup = 50, long=50, short = 10, std_period=50",MACD-12-Mar-2021 23:57:54.txt
0.082868,0.059241,0.33223,3.2783,0.0044673,68.0,26.726,0.011515,6.4558e-05,0.15201,4.3066,12-Mar-2021 21:01:49,1.0,frequency = 1,one-over-n-12-Mar-2021 21:01:22.txt
0.015535424127322,0.0468824682943762,0.204648005866571,3.25473678150045,0.0581188146964441,122.0,30.434840422,0.0195304026179012,0.0042930887128432,0.395925652847242,4.18410218560161,12-Mar-2021 21:41:02,0.1,"warmup = 100, frequency = 100",ledoit-wolf-12-Mar-2021 21:40:31.txt
0.0187916592491736,0.0475475402660894,0.377229139848681,4.17474932088572,0.0500446796424047,110.0,150.280645343,0.0213372553219468,0.0032009464888216,0.585836129929621,4.90220061053128,12-Mar-2021 21:35:23,5.0,"warmup = 100, frequency = 100",ledoit-wolf-12-Mar-2021 21:32:52.txt
0.085437,0.058786,0.44927,3.9534,0.003902,58.0,86.3882,0.010634,4.9498e-05,0.016609,3.5646,12-Mar-2021 20:36:26,5.0,"warmup = 50, frequency = 1",Inverse volatility weighted-12-Mar-2021 20:34:59.txt
0.0818661156523501,0.0584112431424465,0.305771511849466,3.23799240976616,0.0045122752683855,69.0,31.773799175,0.011476005280217,6.50108006883119e-05,0.227061988887997,4.3279118781022,13-Mar-2021 11:15:49,5.0,frequency = 1,Exponential Gradient Expectation Maximisation-13-Mar-2021 11:15:16.txt
0.0686768160457786,0.0509057403535658,0.0216940311127734,3.19844468922476,0.0049279754914558,72.0,41.350496081,0.0100566456599577,5.93000017936447e-05,0.015274886992758,4.12474564400071,12-Mar-2021 23:32:02,1.0,"warmup = 100, frequency = 30",HRP corr-12-Mar-2021 23:31:20.txt
0.079455,0.056663,0.27067,3.2142,0.0046509,69.0,29.1996,0.011401,6.6576e-05,0.376,4.4405,12-Mar-2021 20:48:09,1.0,frequency = 1,current price weighted-12-Mar-2021 20:47:39.txt
